"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"588","1644375292394722","General","General",187,53,53
"589","1641664325999152","General","General",136,89,39
"590","1641099809388937","General","General",324,43,118
"591","1641037596061825","General","General",207,27,142
"592","1640950752737176","General","General",145,942,39
"593","1640844422747809","General","General",10,0,0
"594","1640730626092522","General","General",119,137,63
"595","1639908326174752","General","General",105,4,56
"596","1639848866180698","General","General",86,3,49
"597","1639085722923679","General","General",261,69,97
"598","1638882856277299","General","General",248,181,102
"599","1638324849666433","General","General",170,7,130
"600","1638186826346902","General","General",71,13,7
"601","1638165449682373","General","General",56,1,21
"602","1638022716363313","General","General",214,103,53
"603","1635473359951582","General","General",115,3,47
"604","1635324026633182","General","General",75,2,34
"605","1634729673359284","General","General",15,0,1
"606","1634662453366006","General","General",691,12,341
"607","1634617403370511","General","General",178,30,79
"608","1634567703375481","General","General",35,2,4
"609","1634445746721010","General","General",76,11,16
"610","1633770506788534","General","General",93,22,26
"611","1633691063463145","General","General",27,1,0
"612","1633562903475961","General","General",197,20,96
"613","1633094093522842","General","General",175,25,57
"614","1632796213552630","General","General",158,114,76
"615","1632707280228190","General","General",254,32,119
"616","1631909016974683","General","General",175,66,45
"617","1631738910325027","General","General",359,28,180
"618","1629228767242708","General","General",131,12,51
"619","1629035223928729","General","General",437,137,200
"620","1628600223972229","General","General",68,0,4
"621","1628303137335271","General","General",148,23,72
"622","1628268874005364","General","General",15,0,0
"623","1628139747351610","General","General",131,22,26
"624","1627440937421491","General","General",436,213,145
"625","1627393594092892","General","General",299,62,26
"626","1627275310771387","General","General",126,7,49
"627","1626493544182897","General","General",288,483,104
"628","1626406640858254","General","General",161,13,75
"629","1625626977602887","General","General",112,30,25
"630","1625462307619354","General","General",326,76,204
"631","1624835104348741","General","General",175,63,46
"632","1623003847865200","General","General",83,3,23
"633","1622808401218078","General","General",126,31,32
"634","1622087244623527","General","General",160,33,63
"635","1622057021293216","General","General",9,0,3
"636","1621915184640733","General","General",311,62,121
"637","1621205521378366","General","General",168,69,72
"638","1621035534728698","General","General",157,38,56
"639","1620651211433797","General","General",720,48,41
"640","1620360318129553","General","General",127,15,32
"641","1620217551477163","General","General",91,38,19
"642","1619530468212538","General","General",132,30,44
"643","1619382678227317","General","General",225,256,93
"644","1616965571802361","General","General",213,21,156
"645","1616680865164165","General","General",293,49,122
"646","1616556018509983","General","General",56,31,19
"647","1616156558549929","General","General",186,64,62
"648","1615977338567851","General","General",87,108,19
"649","1615812151917703","General","General",106,39,27
"650","1615708415261410","General","General",125,25,28
"651","1615662238599361","General","General",21,0,2
"652","1615538641945054","General","General",264,67,83
"653","1614751645357087","General","General",98,13,23
"654","1614579058707679","General","General",413,82,250
"655","1613878582111060","General","General",122,41,68
"656","1613730748792510","General","General",125,14,67
"657","1613016438863941","General","General",118,6,50
"658","1612813382217580","General","General",121,9,32
